Date,Close,High,Low,Open,Volume,Daily_Return,Rolling_Mean,Rolling_Std,Rolling_Volatility,ATR,GARCH_Volatility
5/18/2015,29.15823936,29.2769415,28.74837969,28.75285999,203531600,0.011027158,0.001324945,0.015299859,0.015299859,0.595638035,0.015125731
5/19/2015,29.13136673,29.31277931,29.03505922,29.27022507,178532800,-0.000921614,0.001549234,0.015228686,0.015228686,0.563062023,0.014759259
5/20/2015,29.12911797,29.33516699,28.96786162,29.11568051,145819600,-7.72E-05,0.000871663,0.014969447,0.014969447,0.524617953,0.014147676
5/21/2015,29.42700768,29.48076096,29.0776199,29.13137318,158921600,0.010226527,0.000974815,0.015029326,0.015029326,0.474076779,0.013593379
5/22/2015,29.68456841,29.78087594,29.4292463,29.47404241,182384000,0.008752529,0.001177233,0.015109247,0.015109247,0.462552068,0.0133801
5/26/2015,29.03058243,29.76743529,28.918599,29.69800611,282790400,-0.022031177,-0.000833902,0.015399503,0.015399503,0.476664198,0.013105208
5/27/2015,29.57257462,29.62184758,29.12688287,29.19183174,183332800,0.018669697,0.000887369,0.015566873,0.015566873,0.464891051,0.014805867
5/28/2015,29.51434898,29.55242294,29.36205318,29.53226674,122933200,-0.001968906,0.001524216,0.015150337,0.015150337,0.446973093,0.015190161
5/29/2015,29.17840004,29.44044084,29.09329155,29.39116786,203538000,-0.011382563,0.002311583,0.013943964,0.013943964,0.439294157,0.014552876
6/1/2015,29.23663139,29.42700458,29.12688982,29.17840124,128451200,0.001995701,0.000893189,0.012284344,0.012284344,0.428895744,0.014566735
6/2/2015,29.10673141,29.26350752,28.96339278,29.08433336,134670400,-0.004443056,0.000767971,0.012327418,0.012327418,0.417377432,0.013952209
6/3/2015,29.14255333,29.32620771,29.09328037,29.26349729,123934000,0.001230709,0.001956163,0.011041494,0.011041494,0.412897705,0.013554794
6/4/2015,28.97234726,29.24558705,28.87156288,29.02162023,153800400,-0.005840465,0.001978125,0.011024674,0.011024674,0.392581088,0.013059432
6/5/2015,28.81332397,29.04625133,28.74837511,29.0036971,142507200,-0.005488795,0.001394423,0.011098995,0.011098995,0.39338101,0.012856244
6/8/2015,28.62296104,28.93875509,28.40571295,28.8693225,210699200,-0.006606767,0.000122042,0.01043231,0.01043231,0.393701034,0.012660064
6/9/2015,28.53785324,28.68567217,28.13471397,28.37659685,224301600,-0.00297341,0.000482693,0.010178782,0.010178782,0.413218042,0.012563546
6/10/2015,28.86484718,28.96787001,28.6341599,28.64983752,156349200,0.011458253,0.001233733,0.010415985,0.010415985,0.417697428,0.012282199
6/11/2015,28.79990005,29.15600657,28.77526356,28.93203969,141563600,-0.002250042,0.001065606,0.010445142,0.010445142,0.416097567,0.012353832
6/12/2015,28.48186111,28.74166346,28.46842365,28.71030824,147544800,-0.011043057,-0.000653111,0.009360328,0.009360328,0.414498148,0.012073549
6/15/2015,28.4258709,28.49754022,28.15487122,28.24221816,175955600,-0.00196582,-0.000681615,0.009363575,0.009363575,0.378343341,0.012461965
6/16/2015,28.57816124,28.63415294,28.30268305,28.45050024,125976400,0.005357456,-0.0009651,0.009071709,0.009071709,0.359786536,0.012158119
6/17/2015,28.51098061,28.64088008,28.38555801,28.60504627,131672400,-0.002350768,-0.001036558,0.009076975,0.009076975,0.362986581,0.011894556
6/18/2015,28.6408844,28.73719023,28.49306715,28.49530729,141628800,0.004556272,-0.000804884,0.009161487,0.009161487,0.350348413,0.011679563
6/19/2015,28.35420418,28.62744402,28.30941149,28.60280753,218867600,-0.010009475,-0.001816684,0.008994974,0.008994974,0.352588281,0.011456941
6/22/2015,28.58040428,28.68118866,28.46170215,28.55352765,136157200,0.007977657,-0.001855428,0.008948603,0.008948603,0.354507548,0.011847261
6/23/2015,28.45051193,28.58041313,28.41691656,28.55129805,121075600,-0.004544804,-0.000981109,0.007630809,0.007630809,0.349548208,0.011742173
6/24/2015,28.69239616,29.07090073,28.47066944,28.49082564,221123600,0.008501929,-0.001489498,0.006508943,0.006508943,0.367145681,0.011649769
6/25/2015,28.55577087,28.9365138,28.55577087,28.8603659,127752400,-0.004761725,-0.001629139,0.006549601,0.006549601,0.373064731,0.011604385
6/26/2015,28.38779831,28.66551673,28.33404674,28.5938474,176267200,-0.005882263,-0.001354124,0.006225986,0.006225986,0.35866672,0.011544588
6/29/2015,27.89059258,28.32508883,27.87939526,28.09888182,196645600,-0.017514769,-0.002329647,0.007135557,0.007135557,0.355627067,0.011564935
6/30/2015,28.09216118,28.24669885,27.96450015,28.1235164,177482800,0.007227118,-0.001746138,0.007424933,0.007424933,0.350347745,0.012912091
7/1/2015,28.35420418,28.4303538,28.21758426,28.42139492,120955200,0.009327976,-0.001341275,0.007806742,0.007806742,0.347308432,0.012621612
7/2/2015,28.318367,28.37435871,28.16830793,28.31612686,108844000,-0.00126391,-0.001112447,0.007734663,0.007734663,0.338349459,0.012486342
7/6/2015,28.21982384,28.27133697,27.96226161,27.98241952,112241600,-0.003479832,-0.001011999,0.00768774,0.00768774,0.339309202,0.012159353
7/7/2015,28.15038872,28.25341324,27.72037115,28.1951814,187787200,-0.002460509,-0.000804686,0.007584134,0.007584134,0.353707217,0.011954113
7/8/2015,27.45161057,27.91522177,27.44489183,27.87938797,243046400,-0.024823037,-0.001897168,0.009293943,0.009293943,0.385862561,0.011735013
7/9/2015,26.89169884,27.78532606,26.70132736,27.73829323,314380000,-0.020396316,-0.003489896,0.009608893,0.009608893,0.445853677,0.014318554
7/10/2015,27.61063004,27.73829106,27.14701877,27.31051531,245418000,0.026734317,-0.002040678,0.011752372,0.011752372,0.482647913,0.015478861
7/13/2015,28.14367104,28.16606738,27.84355461,28.00257085,165762000,0.019305644,-0.000523243,0.012466412,0.012466412,0.498965974,0.016835969
7/14/2015,28.1324749,28.30269018,28.00481387,28.22878071,127072400,-0.000397821,-0.000444843,0.012461792,0.012461792,0.508564527,0.016955971
7/15/2015,28.40347099,28.47738045,28.12575262,28.15710784,134596800,0.009632857,-0.000231073,0.01260244,0.01260244,0.489367315,0.016092536
7/16/2015,28.7819767,28.79541758,28.52217606,28.60952299,144889600,0.013326037,0.000552767,0.012946494,0.012946494,0.490167576,0.015521219
7/17/2015,29.03058243,29.03058243,28.7371864,28.90964183,184658800,0.008637549,0.000756831,0.013044711,0.013044711,0.487448009,0.015269305
7/20/2015,29.57930183,29.78087062,29.27246494,29.33293695,235600800,0.018901426,0.002202376,0.013386258,0.013386258,0.504725519,0.01474683
7/21/2015,29.2836628,29.7696704,29.1873587,29.7539945,307025600,-0.009994794,0.001303754,0.013580003,0.013580003,0.520883049,0.015168715
7/22/2015,28.04512787,28.10783831,27.32171423,27.32171423,461802400,-0.042294399,-0.000583726,0.016700543,0.016700543,0.636865617,0.014970496
7/23/2015,28.03168869,28.46394302,28.00929064,28.26461268,203998000,-0.000479198,-0.001032783,0.016563567,0.016563567,0.654622874,0.020176041
7/24/2015,27.88387299,28.1615914,27.74949322,28.06752574,168649200,-0.005273164,-0.001058355,0.016570021,0.016570021,0.658622359,0.018983793
7/27/2015,27.49640656,27.68453958,27.35082948,27.56807587,177822000,-0.013895718,-0.001459027,0.016788253,0.016788253,0.658622459,0.018038283
7/28/2015,27.63302612,27.75172998,27.44713496,27.63302612,134472400,0.004968634,-0.000334857,0.016404935,0.016404935,0.629986612,0.017777372
7/29/2015,27.54567719,27.65990074,27.38442081,27.58151269,148046800,-0.003161034,-0.000854265,0.016317127,0.016317127,0.572235271,0.016847066
7/30/2015,27.4068222,27.45161489,27.25900327,27.39562318,134513200,-0.005040899,-0.001572709,0.016160789,0.016160789,0.532241106,0.016057871
7/31/2015,27.16717339,27.46728808,27.07982647,27.4583292,171540000,-0.00874413,-0.001946719,0.016239632,0.016239632,0.520242839,0.015430978
8/3/2015,26.52663231,27.45161472,26.32058152,27.21197027,279904000,-0.023577759,-0.002951616,0.016945955,0.016945955,0.579754045,0.015100558
8/4/2015,25.6755619,26.36089998,25.36424809,26.29818953,496554400,-0.03208362,-0.004432771,0.018152422,0.018152422,0.637665216,0.016578755
8/5/2015,25.84576416,26.30265655,25.10667318,25.29704458,397250400,0.006628959,-0.002860172,0.017648372,0.017648372,0.695096415,0.019159145
8/6/2015,25.90201759,26.21024165,25.67478841,26.0910022,211612000,0.002176505,-0.001731531,0.017183546,0.017183546,0.712386216,0.018125192
8/7/2015,25.98975945,26.15399605,25.76027998,25.77827884,154681600,0.003387452,-0.002898874,0.015892495,0.015892495,0.686916779,0.017126429
8/10/2015,26.93467712,26.99542113,26.21698848,26.21698848,219806400,0.036357308,-0.002046291,0.017520403,0.017520403,0.717156063,0.016240018
8/11/2015,25.53305054,26.58821021,25.49705453,26.50496676,388331200,-0.052037995,-0.004628299,0.020768706,0.020768706,0.679704208,0.019078519
8/12/2015,25.92676926,25.96726584,24.66462769,25.31707191,404870000,0.015419964,-0.004338944,0.021016687,0.021016687,0.74027462,0.025004367
8/13/2015,25.90651321,26.18773893,25.76927493,26.10674579,194143200,-0.000781279,-0.00504431,0.020625707,0.020625707,0.740729321,0.023760263
8/14/2015,26.08874893,26.16749179,25.65003747,25.7197809,171718000,0.007034359,-0.005124469,0.020572783,0.020572783,0.739615808,0.022227287
8/17/2015,26.35873413,26.46897417,25.98526542,26.10675518,163538800,0.010348722,-0.005552104,0.020131236,0.020131236,0.752409646,0.020895473
8/18/2015,26.21024513,26.42172749,26.1000051,26.19449656,138242800,-0.005633389,-0.005334034,0.020104182,0.020104182,0.755712679,0.019818578
